id_registro,data,id_maquina,id_produto,turno,producao_ton,meta_ton,tempo_operacao_h,paradas_h,consumo_energia_mwh,umidade_pct,refugo_ton
1,2025-04-01,1,1,Turno B,3675.3,3990.0,22.3,1.7,2223.6,7.2,86.05
2,2025-04-01,2,2,Turno C,1431.0,1425.0,22.4,1.6,811.9,7.8,8.22
3,2025-04-01,3,3,Turno A,760.3,855.0,20.6,3.4,422.2,7.1,16.15
4,2025-04-01,4,4,Turno B,1077.5,1168.5,21.9,2.1,998.6,8.9,5.56
5,2025-04-01,5,6,Turno C,1209.2,1197.0,23.0,1.0,1030.3,7.0,34.98
6,2025-04-01,6,4,Turno A,915.1,1045.0,21.1,2.9,712.9,9.0,18.39
7,2025-04-01,7,6,Turno B,750.9,741.0,23.0,1.0,684.0,9.4,10.86
8,2025-04-01,8,7,Turno C,482.2,494.0,21.9,2.1,451.1,9.1,9.37
9,2025-04-01,9,5,Turno A,567.9,608.0,22.6,1.4,464.8,7.4,3.97
10,2025-04-02,1,1,Turno C,3426.4,3990.0,20.6,3.4,2075.0,8.4,48.38
11,2025-04-02,2,2,Turno A,1269.9,1425.0,21.2,2.8,766.3,9.3,26.92
12,2025-04-02,3,3,Turno B,794.1,855.0,22.2,1.8,552.6,7.0,11.5
13,2025-04-02,4,4,Turno C,1212.6,1168.5,23.7,0.3,1112.1,8.6,31.61
14,2025-04-02,5,6,Turno A,1152.2,1197.0,22.8,1.2,875.2,7.4,13.47
15,2025-04-02,6,4,Turno B,964.9,1045.0,20.5,3.5,977.4,7.4,20.64
16,2025-04-02,7,6,Turno C,707.5,741.0,21.3,2.7,628.0,7.3,7.9
17,2025-04-02,8,7,Turno A,458.7,494.0,22.0,2.0,424.5,9.2,6.87
18,2025-04-02,9,5,Turno B,565.0,608.0,20.6,3.4,510.1,6.8,3.49
19,2025-04-03,1,1,Turno A,3509.9,3990.0,20.1,3.9,2486.5,7.8,23.12
20,2025-04-03,2,2,Turno B,1366.7,1425.0,21.2,2.8,896.3,9.4,36.24
21,2025-04-03,3,3,Turno C,743.4,855.0,19.7,4.3,510.2,8.1,8.68
22,2025-04-03,4,4,Turno A,1085.5,1168.5,22.3,1.7,955.7,7.9,31.31
23,2025-04-03,5,6,Turno B,1176.5,1197.0,23.3,0.7,1059.1,7.0,32.73
24,2025-04-03,6,4,Turno C,1029.5,1045.0,23.2,0.8,969.5,8.3,9.08
25,2025-04-03,7,6,Turno A,732.2,741.0,22.8,1.2,720.2,8.1,3.67
26,2025-04-03,8,7,Turno B,428.5,494.0,21.0,3.0,440.8,9.1,11.05
27,2025-04-03,9,5,Turno C,527.7,608.0,20.9,3.1,534.8,9.3,3.77
28,2025-04-04,1,1,Turno B,3587.2,3990.0,21.7,2.3,2518.6,8.8,29.45
29,2025-04-04,2,2,Turno C,1337.0,1425.0,21.6,2.4,806.2,9.1,20.83
30,2025-04-04,3,3,Turno A,761.6,855.0,20.5,3.5,530.1,7.1,9.74
31,2025-04-04,4,4,Turno B,1214.8,1168.5,23.7,0.3,1070.8,8.1,9.75
32,2025-04-04,5,6,Turno C,1049.4,1197.0,20.6,3.4,972.3,7.2,11.02
33,2025-04-04,6,4,Turno A,912.3,1045.0,20.0,4.0,746.9,9.2,24.17
34,2025-04-04,7,6,Turno B,624.0,741.0,20.0,4.0,593.2,7.1,5.18
35,2025-04-04,8,7,Turno C,504.7,494.0,23.5,0.5,450.1,8.9,12.71
36,2025-04-04,9,5,Turno A,517.5,608.0,20.5,3.5,455.0,7.8,8.63
37,2025-04-05,1,1,Turno C,3823.1,3990.0,21.2,2.8,2178.0,7.7,51.55
38,2025-04-05,2,2,Turno A,1224.3,1425.0,20.5,3.5,783.2,7.8,14.65
39,2025-04-05,3,3,Turno B,737.8,855.0,20.1,3.9,532.9,8.2,4.62
40,2025-04-05,4,4,Turno C,1199.0,1168.5,22.8,1.2,1232.5,9.0,10.98
